race,name,article,outfit_id,outfit_colors,outfit_object_type,corpse_type_id,blood,spawn_points,priority,priority_evidence,category,subcategory,confidence,source,sprite_geometry
234,Apocalypse,,35,0-0-0-0,,4097,Fire,0,UNPRIORITIZED,declared but no spawn point,creature,monster,DEMONSTRATED,./mon/apocalypse.mon,UNRESOLVED
91,Ashmunrah,,91,0-0-0-0,,4215,Bones,1,P2,./dat/monster.db spawn points,creature,monster,DEMONSTRATED,./mon/pharaohashmunrah.mon,UNRESOLVED
230,Bazir,,35,0-0-0-0,,4097,Fire,0,UNPRIORITIZED,declared but no spawn point,creature,monster,DEMONSTRATED,./mon/bazir.mon,UNRESOLVED
204,Demodras,,204,0-0-0-0,,4062,Blood,0,UNPRIORITIZED,declared but no spawn point,creature,monster,DEMONSTRATED,./mon/demodras.mon,UNRESOLVED
203,Dharalion,,203,0-0-0-0,,4160,Blood,0,UNPRIORITIZED,declared but no spawn point,creature,monster,DEMONSTRATED,./mon/dharalion.mon,UNRESOLVED
87,Dipthrah,,87,0-0-0-0,,4215,Bones,1,P2,./dat/monster.db spawn points,creature,monster,DEMONSTRATED,./mon/pharaohdipthrah.mon,UNRESOLVED
206,Fernfang,,206,0-0-0-0,,4240,Blood,0,UNPRIORITIZED,declared but no spawn point,creature,monster,DEMONSTRATED,./mon/fernfang.mon,UNRESOLVED
231,Ferumbras,,130,57-113-95-113,,4240,Slime,0,UNPRIORITIZED,declared but no spawn point,creature,monster,DEMONSTRATED,./mon/ferumbras.mon,UNRESOLVED
75,Gamemaster,a,75,0-0-0-0,,4240,Blood,0,UNPRIORITIZED,declared but no spawn point,creature,monster,DEMONSTRATED,./mon/gamemaster.mon,UNRESOLVED
207,General Murius,,207,0-0-0-0,,4057,Blood,0,UNPRIORITIZED,declared but no spawn point,creature,monster,DEMONSTRATED,./mon/murius.mon,UNRESOLVED
205,Grorlam,,205,0-0-0-0,,4133,Bones,0,UNPRIORITIZED,declared but no spawn point,creature,monster,DEMONSTRATED,./mon/grorlam.mon,UNRESOLVED
233,Infernatil,,35,0-0-0-0,,4097,Fire,0,UNPRIORITIZED,declared but no spawn point,creature,monster,DEMONSTRATED,./mon/infernatil.mon,UNRESOLVED
86,Mahrdis,,86,0-0-0-0,,4197,Bones,1,P2,./dat/monster.db spawn points,creature,monster,DEMONSTRATED,./mon/pharaohmahrdis.mon,UNRESOLVED
229,Morgaroth,,35,0-0-0-0,,4097,Fire,0,UNPRIORITIZED,declared but no spawn point,creature,monster,DEMONSTRATED,./mon/morgaroth.mon,UNRESOLVED
84,Morguthis,,84,0-0-0-0,,4197,Bones,1,P2,./dat/monster.db spawn points,creature,monster,DEMONSTRATED,./mon/pharaohmorguthis.mon,UNRESOLVED
209,Necropharus,,209,0-0-0-0,,4240,Blood,0,UNPRIORITIZED,declared but no spawn point,creature,monster,DEMONSTRATED,./mon/necropharus.mon,UNRESOLVED
90,Omruc,,90,0-0-0-0,,4197,Bones,1,P2,./dat/monster.db spawn points,creature,monster,DEMONSTRATED,./mon/pharaohomruc.mon,UNRESOLVED
201,Orshabaal,,201,0-0-0-0,,4097,Fire,0,UNPRIORITIZED,declared but no spawn point,creature,monster,DEMONSTRATED,./mon/orshabaal.mon,UNRESOLVED
88,Rahemos,,88,0-0-0-0,,4215,Bones,1,P2,./dat/monster.db spawn points,creature,monster,DEMONSTRATED,./mon/pharaohrahemos.mon,UNRESOLVED
