effect_id,name,source,confidence
0,EFFECT_NONE,reference/game/src/enums.hh::EffectType,DEMONSTRATED
1,EFFECT_BLOOD_HIT,reference/game/src/enums.hh::EffectType,DEMONSTRATED
2,EFFECT_MANA_HIT,reference/game/src/enums.hh::EffectType,DEMONSTRATED
3,EFFECT_POFF,reference/game/src/enums.hh::EffectType,DEMONSTRATED
4,EFFECT_BLOCK_HIT,reference/game/src/enums.hh::EffectType,DEMONSTRATED
5,EFFECT_EXPLOSION,reference/game/src/enums.hh::EffectType,DEMONSTRATED
6,EFFECT_FIRE_BLAST,reference/game/src/enums.hh::EffectType,DEMONSTRATED
7,EFFECT_FIRE_BURST,reference/game/src/enums.hh::EffectType,DEMONSTRATED
8,EFFECT_REBUKE,reference/game/src/enums.hh::EffectType,DEMONSTRATED
9,EFFECT_POISON,reference/game/src/enums.hh::EffectType,DEMONSTRATED
10,EFFECT_BONE_HIT,reference/game/src/enums.hh::EffectType,DEMONSTRATED
11,EFFECT_ENERGY,reference/game/src/enums.hh::EffectType,DEMONSTRATED
12,EFFECT_ENERGY_HIT,reference/game/src/enums.hh::EffectType,DEMONSTRATED
13,EFFECT_MAGIC_BLUE,reference/game/src/enums.hh::EffectType,DEMONSTRATED
14,EFFECT_MAGIC_RED,reference/game/src/enums.hh::EffectType,DEMONSTRATED
15,EFFECT_MAGIC_GREEN,reference/game/src/enums.hh::EffectType,DEMONSTRATED
16,EFFECT_FIRE,reference/game/src/enums.hh::EffectType,DEMONSTRATED
17,EFFECT_POISON_HIT,reference/game/src/enums.hh::EffectType,DEMONSTRATED
18,EFFECT_DEATH,reference/game/src/enums.hh::EffectType,DEMONSTRATED
19,EFFECT_MELODY_GREEN,reference/game/src/enums.hh::EffectType,DEMONSTRATED
20,EFFECT_MELODY_RED,reference/game/src/enums.hh::EffectType,DEMONSTRATED
21,EFFECT_POISON_BURST,reference/game/src/enums.hh::EffectType,DEMONSTRATED
22,EFFECT_MELODY_YELLOW,reference/game/src/enums.hh::EffectType,DEMONSTRATED
23,EFFECT_MELODY_PURPLE,reference/game/src/enums.hh::EffectType,DEMONSTRATED
24,EFFECT_MELODY_BLUE,reference/game/src/enums.hh::EffectType,DEMONSTRATED
25,EFFECT_MELODY_WHITE,reference/game/src/enums.hh::EffectType,DEMONSTRATED
