name,sex,race,outfit_id,outfit_colors,outfit_object_type,home_x,home_y,home_z,region,priority,priority_evidence,category,subcategory,confidence,source,sprite_geometry
A Ghostly Woman,female,1,136,0-0-0-0,,32191,31811,5,Ghostlands,P2,home nearest mark Ghostlands,creature,npc,DEMONSTRATED,./npc/spooky.npc,UNRESOLVED
A Lost Soul,male,1,48,0-0-0-0,,32209,31924,12,KingsIsle,P2,home nearest mark KingsIsle,creature,npc,DEMONSTRATED,./npc/soullost.npc,UNRESOLVED
A Prisoner,male,1,130,81-40-55-94,,32393,32137,13,Minocity,P2,home nearest mark Minocity,creature,npc,DEMONSTRATED,./npc/prisoner.npc,UNRESOLVED
A Strange Fellow,male,1,128,76-43-38-76,,32910,32077,9,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/stranger.npc,UNRESOLVED
A Sweaty Cyclops,male,22,22,0-0-0-0,,32697,31674,3,HellsGate,P2,home nearest mark HellsGate,creature,npc,DEMONSTRATED,./npc/bigben.npc,UNRESOLVED
A Tainted Soul,male,1,48,0-0-0-0,,32216,31927,12,KingsIsle,P2,home nearest mark KingsIsle,creature,npc,DEMONSTRATED,./npc/soultainted.npc,UNRESOLVED
A Tortured Soul,male,1,48,0-0-0-0,,32207,31928,12,KingsIsle,P2,home nearest mark KingsIsle,creature,npc,DEMONSTRATED,./npc/soultortured.npc,UNRESOLVED
A Wrinkled Beholder,male,17,17,0-0-0-0,,32788,31690,13,Necropolis,P2,home nearest mark Necropolis,creature,npc,DEMONSTRATED,./npc/beholder.npc,UNRESOLVED
Abran Ironeye,male,1,73,0-0-0-0,,32907,32116,5,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/ironeye.npc,UNRESOLVED
Adrenius,male,1,9,0-0-0-0,,32660,32112,8,Desert,P2,home nearest mark Desert,creature,npc,DEMONSTRATED,./npc/adrenius.npc,UNRESOLVED
Ahmet,male,1,130,38-40-39-114,,33126,32810,6,Ankrahmun,P2,home nearest mark Ankrahmun,creature,npc,DEMONSTRATED,./npc/ahmet.npc,UNRESOLVED
Al Dee,male,1,128,97-77-87-115,,32063,32180,7,Rookgaard,P1,home nearest mark Rookgaard,creature,npc,DEMONSTRATED,./npc/aldee.npc,UNRESOLVED
Albert,male,1,130,78-0-49-95,,33312,31762,7,Stonehome,P2,home nearest mark Stonehome,creature,npc,DEMONSTRATED,./npc/albert.npc,UNRESOLVED
Aldo,male,1,128,40-37-116-76,,32953,32110,6,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/aldo.npc,UNRESOLVED
Alesar,male,80,80,0-0-0-0,,33048,32621,5,Efreet,P2,home nearest mark Efreet,creature,npc,DEMONSTRATED,./npc/alesar.npc,UNRESOLVED
Alexander,male,1,130,96-63-71-97,,33256,31839,3,Edron,P2,home nearest mark Edron,creature,npc,DEMONSTRATED,./npc/alexander.npc,UNRESOLVED
Alia,female,1,138,96-95-0-95,,32360,31785,7,Carlin,P2,home nearest mark Carlin,creature,npc,DEMONSTRATED,./npc/alia.npc,UNRESOLVED
Allen,male,1,128,76-43-38-76,,32991,32062,6,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/allen.npc,UNRESOLVED
Alwin,male,1,131,113-113-113-115,,32875,32125,6,VenoreDragons,P2,home nearest mark VenoreDragons,creature,npc,DEMONSTRATED,./npc/alwin.npc,UNRESOLVED
Amanda,female,1,138,96-95-0-95,,33222,31814,8,Edron,P2,home nearest mark Edron,creature,npc,DEMONSTRATED,./npc/amanda.npc,UNRESOLVED
Amber,female,1,137,59-113-132-76,,32103,32182,8,Rookgaard,P1,home nearest mark Rookgaard,creature,npc,DEMONSTRATED,./npc/amber.npc,UNRESOLVED
An Apparition,male,1,48,0-0-0-0,,32204,31788,5,Ghostlands,P2,home nearest mark Ghostlands,creature,npc,DEMONSTRATED,./npc/apparition.npc,UNRESOLVED
An Old Dragonlord,male,39,39,0-0-0-0,,32796,31557,2,DragonIsle,P2,home nearest mark DragonIsle,creature,npc,DEMONSTRATED,./npc/olddragon.npc,UNRESOLVED
Anderson,male,1,129,79-113-68-67,,32127,31660,7,Senja,P2,home nearest mark Senja,creature,npc,DEMONSTRATED,./npc/ferryman2.npc,UNRESOLVED
