id,name,description,category,subcategory,category_confidence,category_evidence,art_class,art_class_confidence,art_class_evidence,flags,wire_extra_bytes,visual_group,visual_group_reason,visual_group_confidence,map_occurrence_sectors,map_regions,priority,priority_evidence,source,sprite_geometry
0,,,container,container,DEMONSTRATED,flag:Container,unnamed,UNRESOLVED,object type has no name,Container,,id:0,no name to group by,UNRESOLVED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
1,,,container,container,DEMONSTRATED,flag:Container,unnamed,UNRESOLVED,object type has no name,"Container,Take",,id:1,no name to group by,UNRESOLVED,1,Northport,P2,map regions: Northport,./dat/objects.srv,UNRESOLVED
2,,,container,container,DEMONSTRATED,flag:Container,unnamed,UNRESOLVED,object type has no name,"Container,Take",,id:2,no name to group by,UNRESOLVED,1,Northport,P2,map regions: Northport,./dat/objects.srv,UNRESOLVED
3,,,container,container,DEMONSTRATED,flag:Container,unnamed,UNRESOLVED,object type has no name,"Container,Take",,id:3,no name to group by,UNRESOLVED,1,Northport,P2,map regions: Northport,./dat/objects.srv,UNRESOLVED
4,,,container,container,DEMONSTRATED,flag:Container,unnamed,UNRESOLVED,object type has no name,"Container,Take",,id:4,no name to group by,UNRESOLVED,1,Northport,P2,map regions: Northport,./dat/objects.srv,UNRESOLVED
5,,,container,container,DEMONSTRATED,flag:Container,unnamed,UNRESOLVED,object type has no name,"Container,Take",,id:5,no name to group by,UNRESOLVED,1,Northport,P2,map regions: Northport,./dat/objects.srv,UNRESOLVED
6,,,container,container,DEMONSTRATED,flag:Container,unnamed,UNRESOLVED,object type has no name,"Container,Take",,id:6,no name to group by,UNRESOLVED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
7,,,container,container,DEMONSTRATED,flag:Container,unnamed,UNRESOLVED,object type has no name,"Container,Take",,id:7,no name to group by,UNRESOLVED,1,Northport,P2,map regions: Northport,./dat/objects.srv,UNRESOLVED
8,,,container,container,DEMONSTRATED,flag:Container,unnamed,UNRESOLVED,object type has no name,"Container,Take",,id:8,no name to group by,UNRESOLVED,1,Northport,P2,map regions: Northport,./dat/objects.srv,UNRESOLVED
9,,,container,container,DEMONSTRATED,flag:Container,unnamed,UNRESOLVED,object type has no name,"Container,Take",,id:9,no name to group by,UNRESOLVED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
10,,,container,container,DEMONSTRATED,flag:Container,unnamed,UNRESOLVED,object type has no name,"Container,Take",,id:10,no name to group by,UNRESOLVED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
99,,,container,container,DEMONSTRATED,flag:Container,unnamed,UNRESOLVED,object type has no name,"Container,Unpass",,id:99,no name to group by,UNRESOLVED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
100,void,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unlay,Unmove,Unpass,Unthrow",,name:void|terrain,shared name and category,INFERRED,12,Desert;Havoc;Thais,P2,"map regions: Desert,Havoc,Thais",./dat/objects.srv,UNRESOLVED
101,earth,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unlay,Unmove,Unpass,Unthrow",,name:earth|terrain,shared name and category,INFERRED,5246,Ab'Dendriel;Amazons;Ankrahmun;Banuta;Camp;Carlin;Chor;Cormaya;Darashia;Desert;DragonIsle;Drefia;Edron;Efreet;Elvenbane;Eremo;Fibula;FibulaDungeon;Fieldofglory;Folda;Ghostlands;Ghostship;Greenshore;Havoc;HellsGate;Hills;Home;Kazordoon;KingsIsle;Marid;Minocity;Minoroom;Mists;Necropolis;Northport;Oasis;Orc;PortHope;Rookgaard;Senja;Shadowthorn;Sternum;Stonehome;Swamp;Thais;Trapwood;Trollcaves;Vega;Venore;VenoreDragons,P0,sector within 1 rings of newbiestart,./dat/objects.srv,UNRESOLVED
102,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
103,dirt,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:dirt|terrain,shared name and category,INFERRED,377,Ab'Dendriel;Amazons;Camp;Carlin;Cormaya;Desert;DragonIsle;Drefia;Edron;Efreet;Elvenbane;Eremo;Fibula;FibulaDungeon;Fieldofglory;Ghostlands;Greenshore;Havoc;HellsGate;Hills;Home;Kazordoon;KingsIsle;Marid;Minocity;Minoroom;Mists;Northport;Oasis;Orc;PortHope;Rookgaard;Senja;Shadowthorn;Sternum;Stonehome;Swamp;Thais;Trollcaves;Venore;VenoreDragons,P0,sector within 1 rings of newbiestart,./dat/objects.srv,UNRESOLVED
104,sand,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:sand|terrain,shared name and category,INFERRED,109,Ab'Dendriel;Carlin;DragonIsle;Edron;Efreet;Fibula;FibulaDungeon;Fieldofglory;Ghostlands;HellsGate;Hills;Kazordoon;Marid;Minocity;Mists;Orc;Rookgaard;Sternum;Stonehome;Swamp;Thais;Trollcaves;Venore,P1,sector nearest mark Rookgaard,./dat/objects.srv,UNRESOLVED
105,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
106,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,91,Ab'Dendriel;Amazons;Ankrahmun;Carlin;Darashia;DragonIsle;Edron;Elvenbane;Fibula;FibulaDungeon;Ghostlands;Havoc;HellsGate;Marid;Minocity;Mists;Oasis;Senja;Shadowthorn;Swamp;Trollcaves;Venore,P2,"map regions: Ab'Dendriel,Amazons,Ankrahmun,Carlin,Darashia,DragonIsle,Edron,Elvenbane,Fibula,FibulaDungeon,Ghostlands,Havoc,HellsGate,Marid,Minocity,Mists,Oasis,Senja,Shadowthorn,Swamp,Trollcaves,Venore",./dat/objects.srv,UNRESOLVED
107,rock soil,,terrain,ground,DEMONSTRATED,flag:Bank,rock,INFERRED,name:rock,"Bank,Unmove",,name:rock soil|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
108,flowers,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:flower,"Bank,Unmove",,name:flowers|terrain,shared name and category,INFERRED,85,Ab'Dendriel;Ankrahmun;Carlin;Darashia;DragonIsle;Edron;Elvenbane;Eremo;FibulaDungeon;Ghostlands;Havoc;HellsGate;Marid;Minocity;Mists;Oasis;Shadowthorn;Swamp;Trollcaves;Venore,P2,"map regions: Ab'Dendriel,Ankrahmun,Carlin,Darashia,DragonIsle,Edron,Elvenbane,Eremo,FibulaDungeon,Ghostlands,Havoc,HellsGate,Marid,Minocity,Mists,Oasis,Shadowthorn,Swamp,Trollcaves,Venore",./dat/objects.srv,UNRESOLVED
109,flowers,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:flower,"Bank,Unmove",,name:flowers|terrain,shared name and category,INFERRED,98,Ab'Dendriel;Ankrahmun;Carlin;Darashia;DragonIsle;Edron;Elvenbane;Eremo;Fibula;FibulaDungeon;Ghostlands;Greenshore;Havoc;HellsGate;Marid;Minocity;Mists;Oasis;Shadowthorn;Swamp;Trollcaves;Venore,P2,"map regions: Ab'Dendriel,Ankrahmun,Carlin,Darashia,DragonIsle,Edron,Elvenbane,Eremo,Fibula,FibulaDungeon,Ghostlands,Greenshore,Havoc,HellsGate,Marid,Minocity,Mists,Oasis,Shadowthorn,Swamp,Trollcaves,Venore",./dat/objects.srv,UNRESOLVED
110,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
111,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
112,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
113,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
114,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
115,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
116,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
117,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
