outfit_id,users,sample_users,category,subcategory,confidence,source,sprite_geometry
1,1,mon:human,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
2,1,mon:orc warlord,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
3,1,mon:war wolf,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
4,1,mon:orc rider,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
5,2,mon:orc;npc:Blind Orc,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
6,1,mon:orc shaman,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
7,1,mon:orc warrior,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
8,1,mon:orc berserker,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
9,6,mon:necromancer;npc:Adrenius;npc:Digger;npc:Gundralph;npc:Lugri;npc:Skjaar,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
10,1,mon:butterfly,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
13,1,mon:black sheep,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
14,1,mon:sheep,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
15,1,mon:troll,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
16,1,mon:bear,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
17,2,mon:beholder;npc:A Wrinkled Beholder,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
18,3,mon:ghoul;npc:Chatterbone;npc:Ormuhn,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
19,3,mon:slime;mon:slime;npc:The Orc King,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
21,3,mon:rat;npc:Puffels;npc:Rata'mari,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
22,2,mon:cyclops;npc:A Sweaty Cyclops,outfit,creature_or_npc,DEMONSTRATED,./mon/*.mon and ./npc/*.npc Outfit fields,UNRESOLVED
