region,sectors
Ankrahmun,669
Edron,476
Oasis,336
Banuta,331
Stonehome,327
PortHope,315
Darashia,288
Kazordoon,284
Fibula,280
Sternum,273
Trapwood,267
Chor,259
Marid,259
Rookgaard,251
Efreet,250
Venore,242
Hills,241
Thais,225
Trollcaves,221
Mists,208
Drefia,186
Orc,182
Fieldofglory,171
Shadowthorn,170
Ghostlands,167
DragonIsle,167
FibulaDungeon,162
Northport,150
Havoc,142
Camp,140
Minoroom,140
Home,137
Senja,128
Desert,128
HellsGate,127
Carlin,126
Elvenbane,125
Folda,124
Minocity,119
KingsIsle,118
VenoreDragons,117
Cormaya,114
Vega,111
Amazons,102
Ab'Dendriel,102
Swamp,98
Ghostship,94
Greenshore,90
Necropolis,79
Eremo,55
