ID,Name,Category,Subcategory,Source,Priority,Status,Mockup Version,Approved Version,Production Version,Representation,Rig,Animation,VFX,Notes
obj:2427,a wardrobe,container,container,./dat/objects.srv,P0,TODO,,,,MESH,NONE,NONE,NONE,
obj:2428,a wardrobe,container,container,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:2427,NONE,NONE,NONE,
obj:2434,drawers,container,container,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:2431,NONE,NONE,NONE,
obj:2435,a bookcase,container,container,./dat/objects.srv,P0,TODO,,,,MESH,NONE,NONE,NONE,
obj:2436,a bookcase,container,container,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:2435,NONE,NONE,NONE,
obj:2437,a bookcase,container,container,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:2435,NONE,NONE,NONE,
obj:2469,a box,container,container,./dat/objects.srv,P0,TODO,,,,MESH,NONE,NONE,NONE,
obj:2471,a crate,container,container,./dat/objects.srv,P0,TODO,,,,MESH,NONE,NONE,NONE,
obj:2472,a chest,container,container,./dat/objects.srv,P0,TODO,,,,MESH,NONE,NONE,NONE,
obj:2473,a box,container,container,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:2469,NONE,NONE,NONE,
obj:2523,a barrel,container,container,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:2519,NONE,NONE,NONE,
obj:1081,a mountain,decoration,bottom_overlay,./dat/objects.srv,P0,TODO,,,,MESH,NONE,NONE,NONE,
obj:1082,a mountain,decoration,bottom_overlay,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:1081,NONE,NONE,NONE,
obj:1084,a mountain,decoration,bottom_overlay,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:1081,NONE,NONE,NONE,
obj:1085,a mountain,decoration,bottom_overlay,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:1081,NONE,NONE,NONE,
obj:1086,a mountain,decoration,bottom_overlay,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:1081,NONE,NONE,NONE,
obj:1112,a mountain,decoration,bottom_overlay,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:1081,NONE,NONE,NONE,
obj:1113,a mountain,decoration,bottom_overlay,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:1081,NONE,NONE,NONE,
obj:1114,a mountain,decoration,bottom_overlay,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:1081,NONE,NONE,NONE,
obj:1115,a mountain,decoration,bottom_overlay,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:1081,NONE,NONE,NONE,
obj:1116,a mountain,decoration,bottom_overlay,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:1081,NONE,NONE,NONE,
obj:1117,a mountain,decoration,bottom_overlay,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:1081,NONE,NONE,NONE,
obj:1118,a mountain,decoration,bottom_overlay,./dat/objects.srv,P0,TODO,,,,SHARED_CANDIDATE:obj:1081,NONE,NONE,NONE,
